species,growth_form,habitat
Barcella_odora,acaulescent,rainforest
Elaeis_oleifera,non-acaulescent,rainforest
Elaeis_guineensis,non-acaulescent,rainforest
Acrocomia_crispa,non-acaulescent,seasonally dry
Acrocomia_totai,non-acaulescent,rainforest
Acrocomia_media,non-acaulescent,rainforest
Acrocomia_aculeata,non-acaulescent,seasonally dry
Acrocomia_intumescens,non-acaulescent,rainforest
Acrocomia_glaucescens,non-acaulescent,seasonally dry
Acrocomia_emensis,acaulescent,seasonally dry
Acrocomia_hassleri,acaulescent,seasonally dry
Astrocaryum_alatum,non-acaulescent,rainforest
Astrocaryum_mexicanum,non-acaulescent,rainforest
Astrocaryum_paramaca,non-acaulescent,rainforest
Astrocaryum_rodriguesii,non-acaulescent,rainforest
Astrocaryum_minus,non-acaulescent,rainforest
Astrocaryum_sciophilum,non-acaulescent,rainforest
Astrocaryum_farinosum,non-acaulescent,rainforest
Astrocaryum_confertum,non-acaulescent,rainforest
Astrocaryum_sociale,non-acaulescent,rainforest
Astrocaryum_campestre,acaulescent,seasonally dry
Astrocaryum_echinatum,non-acaulescent,seasonally dry
Astrocaryum_aculeatum,non-acaulescent,rainforest
Astrocaryum_chambira,non-acaulescent,rainforest
Astrocaryum_giganteum,acaulescent,rainforest
Astrocaryum_acaule,acaulescent,rainforest
Astrocaryum_jauari,non-acaulescent,rainforest
Astrocaryum_triandrum,non-acaulescent,rainforest
Astrocaryum_huaimi,non-acaulescent,seasonally dry
Astrocaryum_tucuma,non-acaulescent,rainforest
Astrocaryum_vulgare,non-acaulescent,rainforest
Astrocaryum_scopatum,non-acaulescent,rainforest
Astrocaryum_faranae,non-acaulescent,rainforest
Astrocaryum_chonta,non-acaulescent,rainforest
Astrocaryum_murumuru,non-acaulescent,rainforest
Astrocaryum_gratum,non-acaulescent,seasonally dry
Astrocaryum_javarense,non-acaulescent,rainforest
Astrocaryum_ferrugineum,non-acaulescent,rainforest
Astrocaryum_huicungo,non-acaulescent,rainforest
Astrocaryum_ciliatum,non-acaulescent,rainforest
Astrocaryum_carnosum,non-acaulescent,rainforest
Astrocaryum_perangustatum,non-acaulescent,rainforest
Astrocaryum_ulei,non-acaulescent,rainforest
Astrocaryum_urostachys,non-acaulescent,rainforest
Astrocaryum_macrocalyx,non-acaulescent,rainforest
Astrocaryum_standleyanum,non-acaulescent,rainforest
Astrocaryum_malybo,acaulescent,rainforest
Astrocaryum_aculeatissimum,non-acaulescent,rainforest
Bactris_acanthocarpa,acaulescent,rainforest
Bactris_ferruginea,non-acaulescent,rainforest
Bactris_cuspidata,non-acaulescent,rainforest
Bactris_horridispatha,non-acaulescent,rainforest
Bactris_hatschbachii,non-acaulescent,rainforest
Bactris_guineensis,non-acaulescent,seasonally dry
Bactris_soeiroana,non-acaulescent,rainforest
Bactris_fissifrons,non-acaulescent,rainforest
Bactris_faucium,non-acaulescent,rainforest
Bactris_halmoorei,non-acaulescent,rainforest
Bactris_elegans,non-acaulescent,rainforest
Bactris_glandulosa,non-acaulescent,rainforest
Bactris_obovata,non-acaulescent,rainforest
Bactris_gastoniana,acaulescent,rainforest
Bactris_bidentula,non-acaulescent,rainforest
Bactris_kunorum,non-acaulescent,rainforest
Bactris_rhaphidacantha,non-acaulescent,rainforest
Bactris_timbuiensis,non-acaulescent,rainforest
Bactris_constanciae,non-acaulescent,rainforest
Bactris_jamaicana,non-acaulescent,rainforest
Bactris_plumeriana,non-acaulescent,rainforest
Bactris_vulgaris,non-acaulescent,rainforest
Bactris_coloniata,non-acaulescent,rainforest
Bactris_caryotifolia,non-acaulescent,rainforest
Bactris_simplicifrons,non-acaulescent,rainforest
Bactris_major,non-acaulescent,seasonally dry
Bactris_panamensis,non-acaulescent,rainforest
Bactris_macroacantha,non-acaulescent,rainforest
Bactris_bifida,non-acaulescent,rainforest
Bactris_brongniartii,non-acaulescent,rainforest
Bactris_militaris,non-acaulescent,rainforest
Bactris_herrerana,non-acaulescent,rainforest
Bactris_balanophora,non-acaulescent,rainforest
Bactris_martiana,non-acaulescent,rainforest
Bactris_nancibaensis,non-acaulescent,rainforest
Bactris_oligoclada,non-acaulescent,rainforest
Bactris_gracilior,non-acaulescent,rainforest
Bactris_pilosa,non-acaulescent,rainforest
Bactris_setosa,non-acaulescent,rainforest
Bactris_killipii,non-acaulescent,rainforest
Bactris_oligocarpa,non-acaulescent,rainforest
Bactris_hirta,non-acaulescent,rainforest
Bactris_campestris,non-acaulescent,rainforest
Bactris_caudata,non-acaulescent,rainforest
Bactris_tomentosa,non-acaulescent,rainforest
Bactris_barronis,non-acaulescent,rainforest
Bactris_aubletiana,non-acaulescent,rainforest
Bactris_setiflora,non-acaulescent,rainforest
Bactris_cubensis,non-acaulescent,rainforest
Bactris_pliniana,non-acaulescent,rainforest
Bactris_polystachya,non-acaulescent,rainforest
Bactris_sphaerocarpa,non-acaulescent,rainforest
Bactris_syagroides,non-acaulescent,rainforest
Bactris_tefensis,non-acaulescent,rainforest
Bactris_rostrata,non-acaulescent,rainforest
Bactris_gasipaes,non-acaulescent,rainforest
Bactris_riparia,non-acaulescent,rainforest
Bactris_coloradonis,non-acaulescent,rainforest
Bactris_grayumii,non-acaulescent,rainforest
Bactris_concinna,non-acaulescent,rainforest
Bactris_glaucescens,non-acaulescent,seasonally dry
Bactris_charnleyae,non-acaulescent,rainforest
Bactris_setulosa,non-acaulescent,rainforest
Bactris_dianeura,non-acaulescent,rainforest
Bactris_pickelii,non-acaulescent,rainforest
Bactris_acanthocarpoides,non-acaulescent,rainforest
Bactris_mexicana,non-acaulescent,rainforest
Bactris_corossilla,non-acaulescent,rainforest
Bactris_chaveziae,non-acaulescent,rainforest
Bactris_longiseta,non-acaulescent,rainforest
Bactris_ptariana,non-acaulescent,rainforest
Bactris_glassmanii,non-acaulescent,rainforest
Bactris_turbinocarpa,non-acaulescent,rainforest
Bactris_schultesii,non-acaulescent,rainforest
Bactris_maraja,non-acaulescent,rainforest
Bactris_bahiensis,non-acaulescent,rainforest
Aiphanes_gelatinosa,non-acaulescent,rainforest
Aiphanes_erinacea,non-acaulescent,rainforest
Aiphanes_hirsuta,non-acaulescent,rainforest
Aiphanes_parvifolia,non-acaulescent,rainforest
Aiphanes_macroloba,non-acaulescent,rainforest
Aiphanes_ulei,non-acaulescent,rainforest
Aiphanes_deltoidea,non-acaulescent,rainforest
Aiphanes_weberbaueri,non-acaulescent,rainforest
Aiphanes_spicata,acaulescent,rainforest
Aiphanes_tricuspidata,non-acaulescent,rainforest
Aiphanes_acaulis,acaulescent,rainforest
Aiphanes_lindeniana,non-acaulescent,rainforest
Aiphanes_bicornis,non-acaulescent,rainforest
Aiphanes_leiostachys,non-acaulescent,rainforest
Aiphanes_verrucosa,non-acaulescent,rainforest
Aiphanes_multiplex,non-acaulescent,rainforest
Aiphanes_stergiosii,non-acaulescent,rainforest
Aiphanes_eggersii,non-acaulescent,seasonally dry
Aiphanes_minima,non-acaulescent,seasonally dry
Aiphanes_acanthophylla,non-acaulescent,rainforest
Aiphanes_pilaris,non-acaulescent,rainforest
Aiphanes_horrida,non-acaulescent,rainforest
Aiphanes_buenaventurae,non-acaulescent,rainforest
Aiphanes_graminifolia,non-acaulescent,rainforest
Aiphanes_simplex,non-acaulescent,rainforest
Aiphanes_chiribogensis,non-acaulescent,rainforest
Aiphanes_duquei,non-acaulescent,rainforest
Aiphanes_grandis,non-acaulescent,rainforest
Aiphanes_linearis,non-acaulescent,rainforest
Desmoncus_vacivus,non-acaulescent,rainforest
Desmoncus_cirrhifer,non-acaulescent,rainforest
Desmoncus_osensis,non-acaulescent,rainforest
Desmoncus_horridus,non-acaulescent,rainforest
Desmoncus_prunifer,non-acaulescent,rainforest
Desmoncus_moorei,non-acaulescent,rainforest
Desmoncus_pumilus,non-acaulescent,seasonally dry
Desmoncus_interjectus,non-acaulescent,rainforest
Desmoncus_leptoclonos,non-acaulescent,rainforest
Desmoncus_setosus,non-acaulescent,rainforest
Desmoncus_costaricensis,non-acaulescent,rainforest
Desmoncus_giganteus,non-acaulescent,rainforest
Desmoncus_latisectus,non-acaulescent,seasonally dry
Desmoncus_orthacanthos,non-acaulescent,rainforest
Desmoncus_polyacanthos,non-acaulescent,rainforest
Desmoncus_loretanus,non-acaulescent,rainforest
Desmoncus_mitis,non-acaulescent,rainforest
Desmoncus_kunarius,non-acaulescent,rainforest
Desmoncus_obovoideus,non-acaulescent,rainforest
Desmoncus_chinantlensis,non-acaulescent,rainforest
Desmoncus_myriacanthos,non-acaulescent,rainforest
Desmoncus_madrensis,non-acaulescent,rainforest
Desmoncus_stans,non-acaulescent,rainforest
Desmoncus_parvulus,non-acaulescent,rainforest
Attalea_dahlgreniana,non-acaulescent,rainforest
Attalea_maripa,non-acaulescent,rainforest
Attalea_attaleoides,acaulescent,rainforest
Attalea_tessmannii,non-acaulescent,rainforest
Attalea_barreirensis,acaulescent,seasonally dry
Attalea_iguadummat,acaulescent,rainforest
Attalea_allenii,acaulescent,rainforest
Attalea_seabrensis,non-acaulescent,seasonally dry
Attalea_septuagenata,non-acaulescent,seasonally dry
Attalea_funifera,non-acaulescent,rainforest
Attalea_exigua,acaulescent,seasonally dry
Attalea_racemosa,acaulescent,rainforest
Attalea_salvadorensis,non-acaulescent,rainforest
Attalea_nucifera,acaulescent,rainforest
Attalea_compta,non-acaulescent,rainforest
Attalea_humilis,acaulescent,rainforest
Attalea_brasiliensis,non-acaulescent,rainforest
Attalea_amygdalina,acaulescent,rainforest
Attalea_burretiana,non-acaulescent,rainforest
Attalea_oleifera,non-acaulescent,rainforest
Attalea_geraensis,acaulescent,seasonally dry
Attalea_apoda,non-acaulescent,seasonally dry
Attalea_pindobassu,non-acaulescent,seasonally dry
Attalea_dubia,non-acaulescent,rainforest
Attalea_crassispatha,non-acaulescent,rainforest
Attalea_microcarpa,acaulescent,rainforest
Attalea_hoehnei,acaulescent,seasonally dry
Attalea_cuatrecasana,acaulescent,rainforest
Attalea_guacuyule,non-acaulescent,seasonally dry
Attalea_cohune,non-acaulescent,seasonally dry
Attalea_vitrivir,non-acaulescent,seasonally dry
Attalea_phalerata,non-acaulescent,seasonally dry
Attalea_salazarii,non-acaulescent,rainforest
Attalea_osmantha,non-acaulescent,rainforest
Attalea_maracaibensis,non-acaulescent,rainforest
Attalea_kewensis,non-acaulescent,rainforest
Attalea_blepharopus,non-acaulescent,seasonally dry
Attalea_magdalenica,non-acaulescent,rainforest
Attalea_plowmanii,acaulescent,rainforest
Attalea_butyracea,non-acaulescent,rainforest
Attalea_rostrata,non-acaulescent,rainforest
Attalea_insignis,acaulescent,rainforest
Attalea_moorei,non-acaulescent,rainforest
Attalea_cephalotus,non-acaulescent,rainforest
Attalea_lauromuelleriana,non-acaulescent,seasonally dry
Attalea_wesselsboeri,non-acaulescent,rainforest
Attalea_weberbaueri,acaulescent,rainforest
Attalea_maripensis,acaulescent,rainforest
Attalea_degranvillei,acaulescent,rainforest
Attalea_amylacea,non-acaulescent,rainforest
Attalea_camopiensis,acaulescent,rainforest
Attalea_guianensis,acaulescent,rainforest
Attalea_huebneri,non-acaulescent,rainforest
Attalea_fairchildensis,non-acaulescent,rainforest
Attalea_macrolepis,non-acaulescent,rainforest
Attalea_peruviana,non-acaulescent,rainforest
Attalea_anisitsiana,acaulescent,seasonally dry
Attalea_princeps,non-acaulescent,seasonally dry
Attalea_bassleriana,non-acaulescent,rainforest
Attalea_brejinhoensis,non-acaulescent,seasonally dry
Attalea_colenda,non-acaulescent,rainforest
Attalea_spectabilis,acaulescent,rainforest
Attalea_speciosa,non-acaulescent,seasonally dry
Attalea_eichleri,acaulescent,seasonally dry
Attalea_luetzelburgii,acaulescent,rainforest
Lytocaryum_hoehnei,non-acaulescent,rainforest
Lytocaryum_weddellianum,non-acaulescent,rainforest
Lytocaryum_insigne,non-acaulescent,rainforest
Lytocaryum_itapebiense,non-acaulescent,rainforest
Syagrus_schizophylla,non-acaulescent,rainforest
Syagrus_romanzoffiana,non-acaulescent,seasonally dry
Syagrus_procumbens,acaulescent,seasonally dry
Syagrus_campylospatha,acaulescent,seasonally dry
Syagrus_lilliputiana,non-acaulescent,seasonally dry
Syagrus_graminifolia,acaulescent,seasonally dry
Syagrus_angustifolia,acaulescent,seasonally dry
Syagrus_harleyi,acaulescent,seasonally dry
Syagrus_itacambirana,acaulescent,seasonally dry
Syagrus_campestris,non-acaulescent,seasonally dry
Syagrus_deflexa,non-acaulescent,seasonally dry
Syagrus_pleioclada,acaulescent,seasonally dry
Syagrus_pleiocladoides,acaulescent,seasonally dry
Syagrus_flexuosa,non-acaulescent,seasonally dry
Syagrus_caerulescens,acaulescent,seasonally dry
Syagrus_petraea,acaulescent,seasonally dry
Syagrus_cerqueirana,non-acaulescent,seasonally dry
Syagrus_allagopteroides,acaulescent,seasonally dry
Syagrus_rupicola,acaulescent,seasonally dry
Syagrus_macrocarpa,non-acaulescent,seasonally dry
Syagrus_minor,acaulescent,seasonally dry
Syagrus_yungasensis,non-acaulescent,seasonally dry
Syagrus_cardenasii,non-acaulescent,seasonally dry
Syagrus_mendanhensis,acaulescent,seasonally dry
Syagrus_loefgrenii,acaulescent,seasonally dry
Syagrus_glaucescens,non-acaulescent,seasonally dry
Syagrus_glazioviana,non-acaulescent,seasonally dry
Syagrus_gouveiana,non-acaulescent,seasonally dry
Syagrus_duartei,acaulescent,seasonally dry
Syagrus_evansiana,acaulescent,seasonally dry
Syagrus_comosa,non-acaulescent,seasonally dry
Syagrus_picrophylla,non-acaulescent,rainforest
Syagrus_oleracea,non-acaulescent,seasonally dry
Syagrus_kellyana,non-acaulescent,rainforest
Syagrus_lorenzoniorum,non-acaulescent,rainforest
Syagrus_cearensis,non-acaulescent,rainforest
Syagrus_cocoides,non-acaulescent,rainforest
Syagrus_inajai,non-acaulescent,rainforest
Syagrus_smithii,non-acaulescent,rainforest
Syagrus_vermicularis,non-acaulescent,rainforest
Syagrus_pseudococos,non-acaulescent,rainforest
Syagrus_sancona,non-acaulescent,rainforest
Syagrus_stratincola,non-acaulescent,rainforest
Syagrus_botryophora,non-acaulescent,rainforest
Syagrus_amara,non-acaulescent,seasonally dry
Syagrus_stenopetala,non-acaulescent,seasonally dry
Syagrus_orinocensis,non-acaulescent,rainforest
Syagrus_coronata,non-acaulescent,seasonally dry
Syagrus_vagans,acaulescent,seasonally dry
Syagrus_werdermannii,acaulescent,seasonally dry
Syagrus_longipedunculata,non-acaulescent,seasonally dry
Syagrus_microphylla,acaulescent,seasonally dry
Syagrus_ruschiana,non-acaulescent,seasonally dry
Butia_purpurascens,non-acaulescent,seasonally dry
Butia_missionera,non-acaulescent,rainforest
Butia_quaraimana,non-acaulescent,rainforest
Butia_capitata,non-acaulescent,seasonally dry
Butia_lallemantii,acaulescent,seasonally dry
Butia_exilata,non-acaulescent,rainforest
Butia_archeri,acaulescent,seasonally dry
Butia_noblickii,non-acaulescent,seasonally dry
Butia_odorata,non-acaulescent,seasonally dry
Butia_eriospatha,non-acaulescent,seasonally dry
Butia_matogrossensis,acaulescent,seasonally dry
Butia_microspadix,acaulescent,seasonally dry
Butia_campicola,acaulescent,seasonally dry
Butia_leptospatha,acaulescent,seasonally dry
Butia_exospadix,acaulescent,seasonally dry
Butia_catarinensis,non-acaulescent,seasonally dry
Butia_paraguayensis,non-acaulescent,seasonally dry
Butia_yatay,non-acaulescent,seasonally dry
Butia_marmorii,acaulescent,seasonally dry
Butia_stolonifera,acaulescent,rainforest
Jubaea_chilensis,non-acaulescent,seasonally dry
Cocos_nucifera,non-acaulescent,rainforest
Parajubaea_torallyi,non-acaulescent,seasonally dry
Parajubaea_cocoides,non-acaulescent,seasonally dry
Parajubaea_sunkha,non-acaulescent,seasonally dry
Allagoptera_caudescens,non-acaulescent,rainforest
Allagoptera_arenaria,acaulescent,rainforest
Allagoptera_leucocalyx,acaulescent,rainforest
Allagoptera_brevicalyx,acaulescent,seasonally dry
Allagoptera_campestris,acaulescent,seasonally dry
Jubaeopsis_caffra,non-acaulescent,seasonally dry
Voanioala_gerardii,non-acaulescent,rainforest
Beccariophoenix_madagascariensis,non-acaulescent,rainforest
Beccariophoenix_alfredii,non-acaulescent,seasonally dry